Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / Condition,Variant Image,Variant Weight Unit,Cost per item,Status
burgundy-caelia,Burgundy Berry,"<p>Beauty Mirror Case in Burgundy Berry — il colore maison. Astuccio e specchio, stesso gesto.</p><ul>
<li>Specchio integrato, nitido</li>
<li>Tasca per fino a 5 matite</li>
<li>Pelle PU premium</li>
<li>Logo debossato tono su tono</li></ul><p>Due pezzi: astuccio e specchio. Un gesto, in borsa.</p>",CAELIA,lb-3-3,Beauty Mirror Case,"caelia, burgundy berry, beauty mirror case, pelle, specchio, matite",TRUE,Title,Default Title,CAELIA-BERRY,165,shopify,25,deny,manual,58.00,,TRUE,TRUE,,https://caelia-store-x1wb.vercel.app/campaign/pair-berry.jpg,1,Burgundy Berry — astuccio e specchio,FALSE,Burgundy Berry — CAELIA Beauty Mirror Case,"Astuccio specchio in pelle Burgundy Berry. Cinque matite, specchio anti-riflesso, logo CAELIA inciso. 58 €.","Apparel & Accessories > Handbags, Wallets & Cases",female,adult,new,https://caelia-store-x1wb.vercel.app/campaign/pair-berry.jpg,g,,active
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/model-berry-pencils.jpg,2,Burgundy Berry — cinque matite in tasca,,,,,,,,,,,
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/model-berry.jpg,3,Burgundy Berry — packshot,,,,,,,,,,,
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/packshot-berry.jpg,4,Burgundy Berry — packshot frontale,,,,,,,,,,,
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/berry-angle.jpg,5,Burgundy Berry — tre quarti,,,,,,,,,,,
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/life-carla.jpg,6,Carla con CAELIA Burgundy Berry,,,,,,,,,,,
burgundy-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/life-plane.jpg,7,Burgundy Berry in viaggio,,,,,,,,,,,
crema-caelia,Rosa nude,"<p>Beauty Mirror Case in Rosa nude. Pelle polvere, specchio, tasca.</p><ul>
<li>Specchio integrato, nitido</li>
<li>Tasca per fino a 5 matite</li>
<li>Pelle PU premium</li>
<li>Logo debossato tono su tono</li></ul><p>Due pezzi: astuccio e specchio. Un gesto, in borsa.</p>",CAELIA,lb-3-3,Beauty Mirror Case,"caelia, rosa nude, beauty mirror case, pelle, specchio, matite",TRUE,Title,Default Title,CAELIA-ROSA,165,shopify,25,deny,manual,58.00,,TRUE,TRUE,,https://caelia-store-x1wb.vercel.app/campaign/pair-rosa.jpg,1,Rosa nude — astuccio e specchio,FALSE,Rosa nude — CAELIA Beauty Mirror Case,"Astuccio specchio in pelle rosa nude. Specchio integrato, tasca per matite, wordmark CAELIA. 58 €.","Apparel & Accessories > Handbags, Wallets & Cases",female,adult,new,https://caelia-store-x1wb.vercel.app/campaign/pair-rosa.jpg,g,,active
crema-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/model-rosa.jpg,2,Rosa nude — packshot,,,,,,,,,,,
crema-caelia,,,,,,,,,,,,,,,,,,,,,https://caelia-store-x1wb.vercel.app/campaign/model-rosa-stand.jpg,3,Rosa nude — in piedi,,,,,,,,,,,
