Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
amazing-ice-sunglasses-collection20,Amazing Ice Sunglasses Collection20,,Shopify,Books,,TRUE,Size,xs,Color,red,Element,water,c79bc4fc-eb22-4a5d-bc52-d6bfa6a0dc3f,1614.0,,0,deny,manual,90.54,502.31,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0457/6431/3110/products/AAUvwnj0ICORVuxs41ODOvnhvedArLiSV20df7r8XBjEUQ_s900-c-k-c0x00ffffff-no-rj_728b00f2-a98a-4823-a3f1-61657ac8119e.jpg?v=1614297358,1,,FALSE,,,,,,,,,,,,,,,,,kg,,217.20,active,collection20
amazing-ice-sunglasses-collection20,,,,,,,,xs,,blue,,water,4cc7f518-8e35-45c3-be28-b37bf3344060,2287.0,,0,deny,manual,10.39,62.60,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,50.77,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,s,,red,,water,9e120648-94e3-4608-9c87-aecf3a5784e5,2714.0,,0,deny,manual,198.60,881.88,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,538.01,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,s,,blue,,water,8052b774-137a-40ab-8c62-68591f92b873,3152.0,,0,deny,manual,1.27,184.09,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,67.32,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,m,,red,,water,5f6937d8-a9bc-4712-8539-0c44b72597a9,1684.0,,0,deny,manual,11.69,64.32,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,52.35,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,m,,blue,,water,89b9982d-7847-46ec-9426-d6cbb0e19b07,4418.0,,0,deny,manual,155.20,527.53,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,334.10,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,l,,red,,water,c5474fc7-a31c-4ce2-8c82-543450ea3f10,3966.0,,0,deny,manual,485.89,697.77,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,130.25,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,l,,blue,,water,92634b5c-6571-4ef7-8fc5-a6348105de64,3931.0,,0,deny,manual,71.48,73.88,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,54.86,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,xl,,red,,water,f817ad0b-7ce4-48ee-b9c1-7a759844fca1,4233.0,,0,deny,manual,276.07,869.47,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,781.84,,collection20
amazing-ice-sunglasses-collection20,,,,,,,,xl,,blue,,water,2fbfcd87-dcdf-4874-acea-2dff2e86fe38,4326.0,,0,deny,manual,79.48,166.97,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,107.34,,collection20
amazing-ice-sunglasses-collection19,Amazing Ice Sunglasses Collection19,,Shopify,Books,,TRUE,Size,xs,Color,red,Element,water,c05deb7b-4bb1-4548-b002-83564ae93b6b,1554.0,,0,deny,manual,164.08,303.89,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0457/6431/3110/products/AAUvwnj0ICORVuxs41ODOvnhvedArLiSV20df7r8XBjEUQ_s900-c-k-c0x00ffffff-no-rj_ef2e6ea0-33c8-4faa-aabc-cd3862c7ad73.jpg?v=1614297356,1,,FALSE,,,,,,,,,,,,,,,,,kg,,111.62,active,collection19
amazing-ice-sunglasses-collection19,,,,,,,,xs,,blue,,water,c6d8f44c-3b97-4731-b9da-b01ca9f321db,3484.0,,0,deny,manual,546.47,883.73,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,589.42,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,s,,red,,water,024179b8-81c6-42bd-9908-16746fc964cd,2706.0,,0,deny,manual,22.55,93.85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,24.10,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,s,,blue,,water,cfcf557b-544b-4b5e-8619-0c3bf3c48850,1875.0,,0,deny,manual,468.94,610.20,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,386.37,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,m,,red,,water,bbd68c09-5fab-4ef8-a22b-5c285f88c969,491.0,,0,deny,manual,601.58,613.53,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,403.77,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,m,,blue,,water,0ce804e1-b3e4-40ca-bfcf-03ee504295c3,1573.0,,0,deny,manual,453.01,495.28,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,422.05,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,l,,red,,water,74a8e2c0-39ac-4e15-970f-e52b2a7f9871,2618.0,,0,deny,manual,40.95,80.92,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,68.48,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,l,,blue,,water,ddbcaeae-ca9b-4f3a-920d-d2b396b9e7e6,1061.0,,0,deny,manual,193.41,358.35,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,196.47,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,xl,,red,,water,c25e4c69-f5bf-4971-b745-bfd03b1556bb,4169.0,,0,deny,manual,501.73,539.09,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,395.21,,collection19
amazing-ice-sunglasses-collection19,,,,,,,,xl,,blue,,water,970af6f1-86be-4c4e-b19e-345bf9c8c71c,366.0,,0,deny,manual,18.49,485.66,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,360.26,,collection19
amazing-ice-sunglasses-collection18,Amazing Ice Sunglasses Collection18,,Shopify,Books,,TRUE,Size,xs,Color,red,Element,water,ec8cd7b6-1ea2-422b-9982-8fb7d489bbcd,2593.0,,0,deny,manual,67.66,396.67,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0457/6431/3110/products/AAUvwnj0ICORVuxs41ODOvnhvedArLiSV20df7r8XBjEUQ_s900-c-k-c0x00ffffff-no-rj_700cc055-76ee-471d-b37b-8a2d5dfef123.jpg?v=1614297354,1,,FALSE,,,,,,,,,,,,,,,,,kg,,330.66,active,collection18
amazing-ice-sunglasses-collection18,,,,,,,,xs,,blue,,water,72db2d40-22ec-4cfb-8a52-9af39d641b21,3358.0,,0,deny,manual,263.88,377.38,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,270.48,,collection18
amazing-ice-sunglasses-collection18,,,,,,,,s,,red,,water,a0e3ed0f-ae40-4460-a2ea-b5c792478e13,2263.0,,0,deny,manual,205.45,427.33,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,283.34,,collection18
amazing-ice-sunglasses-collection18,,,,,,,,s,,blue,,water,c9f9890a-d0fa-4eb4-b8eb-85352d28bbe2,3074.0,,0,deny,manual,339.00,523.66,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,19.66,,collection18
